Date,Model Number,Serial Number
11/1/2021,VFUD15TW,1D10731100182
11/1/2021,CRGE3060,
11/1/2021,WED5000,
11/1/2021,WTW5005KW,CA2201432
11/2/2021,GMD1060SB,2.00073E+11
11/2/2021,KRFU021AWE0,
11/2/2021,WT7300CW,011TNNH15071
11/3/2021,ABB2224BRM,
11/3/2021,FFSS2615TE,
11/3/2021,GUD24,
11/3/2021,KRFU021AWD0,MR219E35960168
11/3/2021,DR3000WE,
11/3/2021,TR3003WN,2102047283
11/3/2021,TR3003WN,2105038543
11/4/2021,NFUD2150MW,12884200104
11/4/2021,WTD5005,MA21131694
11/5/2021,FFEF3054,VF05157910
11/5/2021,FFEF3054,VF05157908
11/5/2021,FFEF3054,VF04528267
11/5/2021,FFEF3054,VF0452881
11/5/2021,FFEF3054,VF05000986
11/5/2021,FFSS2615TP,
11/5/2021,HTW240ASKWS,VR988808G
11/5/2021,MED4949WW,
11/6/2021,KRFU18AWD,MR217E43800066
11/6/2021,DLE7000W,101KWCF7E467
11/6/2021,DC5003WE,2108015803
11/8/2021,ADB1400AGS,FX4514882
11/8/2021,FFEF3054TS,
11/8/2021,FFCS0922AW,
11/8/2021,GTS18HGNERWW,HS855357
11/8/2021,NRTD1850MB,
11/8/2021,NFUD2150MW,2884200036
11/8/2021,LRDC526035,
11/8/2021,DC5003WE,2110059624
11/8/2021,TC5003WN,2109006502
11/8/2021,WDT970,
11/8/2021,FFSS2315,
11/9/2021,FRSS2623AW,
11/9/2021,FFEH3051VSC,VF05010319
11/9/2021,MDB4949,
11/9/2021,WDF540PADW,FA3525326
11/9/2021,WTW5005KW,CA2201714
11/10/2021,EFME5270TT,
11/10/2021,EFLS2570TT,
11/10/2021,FFFU13F2VW,8A03653061
11/10/2021,NFUD1750MW,
11/10/2021,NRT7115MF,
11/10/2021,DC5003,
11/10/2021,TC5003,
11/11/2021,FFFU13F2VW,8A03731920
11/11/2021,KRFU18AWD,
11/11/2021,WM3400,
11/11/2021,WED5000VW,MA0609455
11/12/2021,,
11/12/2021,DLE7000W,
11/12/2021,WT7005CW,
11/12/2021,WRR56X18FW03,IA4005768
11/12/2021,WDT970SAKZ,FA3302237
11/12/2021,WRS588FIHW,HRA2806532
11/12/2021,WDF520PADW,FX5105841
11/12/2021,WDF540PADW,FX5013489
11/12/2021,WDT750,
11/12/2021,LTCS2002OW,
11/13/2021,VED6505GW,
11/13/2021,VAW3584GW,
11/13/2021,LFXS26596S,
11/13/2021,WT7300CW,007TNWE1F993
11/13/2021,MVWC465HW3,CA2201236
11/13/2021,WDF540PADB,FX4604881
11/13/2021,WED5000DW,MA0609489
11/13/2021,WTW500SKW,CA2201433
11/15/2021,FFMV1846VW,KG94507727
11/15/2021,WRR56X18FW03,
11/16/2021,ADB1400,
11/16/2021,FFCS0522AW,
11/16/2021,FFCL1542AW,AA12540068
11/16/2021,LTCS20020W,012MRJF0U836
11/17/2021,JB258DMWW,MS125141Q
11/17/2021,JB258DMWW,MS125465Q
11/17/2021,JB258,TR071612
11/17/2021,JB258DMWW,MS125142Q
11/17/2021,KRFU021AWD0,
11/17/2021,WM3400,
11/17/2021,MET8800FZ,
11/17/2021,DC5000WE,2106041676
11/17/2021,TC5003WN,2110029235
11/18/2021,NFUD2150MW,
11/18/2021,KRFU021AWD0,MR213E54870064
11/18/2021,KRFU018AWD,MR17E438066
11/18/2021,KRFU018AWD,MR217E43840176
11/18/2021,LMXS28596,
11/18/2021,DC5000WE,2110030776
11/18/2021,DC5000WE,2107008716
11/18/2021,TC5003WN,2109006509
11/18/2021,WDF540PADM,
11/19/2021,ART104,
11/19/2021,EFME427UW,4C04700173
11/19/2021,JP3530DDJBB,TS004594Q
11/19/2021,KRFU21,
11/19/2021,MSS25C4MGW,HRA3981470
11/19/2021,DR7000WE,2110055234
11/19/2021,TR7003WN,2108026220
11/19/2021,MFI2570FEZ,KA3917352
11/19/2021,WDF540PADM,FX4021209
11/20/2021,VED6505GW,MA0818729
11/20/2021,VAW3584GW,CA3400784
11/20/2021,FFFC07 CHEST,AA03412608
11/20/2021,FFFC19F2,8A03447319
11/20/2021,FFMV1846VW,
11/20/2021,FFFU16F2VW,8A10266770
11/20/2021,FFFU16F2VW,8A10266762
11/20/2021,HTW240ASKWS,
11/20/2021,KRFU21AWD,
11/20/2021,LDT5678SS,
11/20/2021,MEDC465W,MX1829187
11/20/2021,MVWC465HW3,
11/20/2021,DC5000WE,2110030775
11/20/2021,TR7003WN,
11/20/2021,WDT750SAKZ,FA3602444
11/22/2021,,
11/22/2021,FFFU16F2VW,8A10266767
11/22/2021,FFHT1824UW,KA02701725
11/22/2021,HTX24EAS,
11/22/2021,HTW240A,
11/22/2021,KRFU21AWD,
11/22/2021,MVWC465HW,CA2201229
11/22/2021,DC5003WE,2110058904
11/22/2021,TC5003WN,2110029228
11/22/2021,,
11/22/2021,WED5000DW,MA0609450
11/22/2021,WTW5005K,CA2200207
11/22/2021,WRB329DMB,
11/24/2021,VED6505GW,MA0414916
11/24/2021,VAW3584GW,CA2600837
11/24/2021,FFCL1542AW,AA12540192
11/24/2021,FFHB2750TP,
11/24/2021,FFSS2623AW0,4A12621931
11/24/2021,KRFU018AWD0,
11/24/2021,MEDC465HW,MA1802010
11/24/2021,TR5003WN,
11/26/2021,VAW3584GW,CA2301028
11/26/2021,CAW45125VW,
11/26/2021,FFEF3054,
